constructorResultados,corrida_Id,constructor_Id,pontos
1,18,1,14
2,18,2,8
3,18,3,9
4,18,4,5
5,18,5,2
6,18,6,1
7,18,7,0
8,18,8,0
9,18,9,0
10,18,10,0
11,18,11,0
12,19,6,10
13,19,2,11
14,19,1,10
15,19,7,5
16,19,9,2
17,19,4,1
18,19,11,0
19,19,10,0
20,19,3,0
21,19,8,0
22,19,5,0
23,20,6,18
24,20,2,11
25,20,1,4
26,20,7,3
27,20,9,2
28,20,3,1
29,20,4,0
30,20,11,0
31,20,10,0
32,20,5,0
33,20,8,0
34,21,6,18
35,21,1,6
36,21,2,5
37,21,9,4
38,21,11,3
39,21,3,2
40,21,7,1
41,21,10,0
42,21,8,0
43,21,4,0
44,21,5,0
45,22,6,16
46,22,1,8
47,22,2,9
48,22,4,3
49,22,9,2
50,22,3,1
51,22,7,0
52,22,11,0
53,22,10,0
54,22,5,0
55,23,1,11
56,23,2,8
57,23,6,6
58,23,9,5
59,23,5,4
60,23,11,3
61,23,3,2
62,23,4,0
63,23,7,0
64,23,10,0
65,24,2,18
66,24,9,6
67,24,7,8
68,24,6,4
69,24,11,2
70,24,5,1
71,24,1,0
72,24,3,0
73,24,10,0
74,24,4,0
75,25,6,18
76,25,7,6
77,25,1,5
78,25,2,4
79,25,9,3
80,25,4,3
81,25,5,0
82,25,11,0
83,25,3,0
84,25,10,0
85,26,1,14
86,26,2,8
87,26,11,6
88,26,6,5
89,26,4,3
90,26,7,2
91,26,3,1
92,26,9,0
93,26,5,0
94,26,10,0
95,27,1,14
96,27,4,8
97,27,6,9
98,27,2,7
99,27,5,1
100,27,7,0
101,27,3,0
102,27,9,0
103,27,10,0
104,27,11,0
105,28,1,14
106,28,7,10
107,28,6,6
108,28,4,8
109,28,2,1
110,28,9,0
111,28,11,0
112,28,3,0
113,28,10,0
114,28,5,0
115,29,6,10
116,29,1,13
117,29,2,6
118,29,7,6
119,29,5,3
120,29,3,1
121,29,4,0
122,29,9,0
123,29,11,0
124,29,10,0
125,30,6,10
126,30,2,11
127,30,1,6
128,30,4,5
129,30,5,6
130,30,9,1
131,30,7,0
132,30,3,0
133,30,10,0
134,30,11,0
135,31,5,10
136,31,1,10
137,31,2,10
138,31,4,5
139,31,6,3
140,31,9,1
141,31,7,0
142,31,3,0
143,31,11,0
144,31,10,0
145,32,4,10
146,32,3,9
147,32,1,6
148,32,7,5
149,32,5,4
150,32,2,3
151,32,9,2
152,32,11,0
153,32,6,0
154,32,10,0
155,33,4,15
156,33,2,8
157,33,6,8
158,33,7,4
159,33,5,3
160,33,9,1
161,33,3,0
162,33,1,0
163,33,11,0
164,33,10,0
165,34,1,10
166,34,6,14
167,34,4,6
168,34,2,7
169,34,7,2
170,34,5,0
171,34,9,0
172,34,11,0
173,34,3,0
174,34,10,0
175,35,6,16
176,35,4,8
177,35,5,5
178,35,1,6
179,35,7,4
180,35,9,0
181,35,2,0
182,35,3,0
183,35,11,0
184,35,10,0
185,36,6,13
186,36,1,14
187,36,2,5
188,36,4,4
189,36,3,2
190,36,7,1
191,36,11,0
192,36,8,0
193,36,9,0
194,36,5,0
195,36,12,0
196,37,1,18
197,37,6,10
198,37,2,5
199,37,4,4
200,37,7,2
201,37,3,0
202,37,9,0
203,37,11,0
204,37,8,0
205,37,5,0
206,37,12,0
207,38,6,16
208,38,1,12
209,38,2,8
210,38,7,2
211,38,4,1
212,38,3,0
213,38,11,0
214,38,12,0
215,38,8,0
216,38,9,0
217,38,5,0
218,39,6,10
219,39,1,14
220,39,2,5
221,39,9,4
222,39,3,3
223,39,4,2
224,39,8,1
225,39,11,0
226,39,12,0
227,39,7,0
228,39,5,0
229,40,1,18
230,40,6,7
231,40,4,5
232,40,2,7
233,40,3,2
234,40,5,0
235,40,11,0
236,40,9,0
237,40,7,0
238,40,8,0
239,40,12,0
240,41,1,12
241,41,2,8
242,41,3,6
243,41,4,5
244,41,6,4
245,41,8,3
246,41,7,1
247,41,9,0
248,41,11,0
249,41,5,0
250,41,12,0
251,42,1,18
252,42,6,11
253,42,4,4
254,42,7,3
255,42,9,2
256,42,2,1
257,42,3,0
258,42,8,0
259,42,11,0
260,42,5,0
261,42,12,0
262,43,6,18
263,43,1,8
264,43,2,9
265,43,4,3
266,43,11,1
267,43,3,0
268,43,7,0
269,43,9,0
270,43,8,0
271,43,12,0
272,43,5,0
273,44,6,14
274,44,1,14
275,44,2,8
276,44,4,3
277,44,11,0
278,44,9,0
279,44,3,0
280,44,8,0
281,44,12,0
282,44,5,0
283,44,7,0
284,45,1,10
285,45,6,8
286,45,9,10
287,45,3,5
288,45,2,5
289,45,4,1
290,45,11,0
291,45,8,0
292,45,7,0
293,45,12,0
294,45,5,0
295,46,1,15
296,46,6,8
297,46,2,10
298,46,7,3
299,46,3,2
300,46,4,1
301,46,9,0
302,46,8,0
303,46,5,0
304,46,12,0
305,46,11,0
306,47,6,18
307,47,1,10
308,47,2,6
309,47,4,3
310,47,3,2
311,47,9,0
312,47,7,0
313,47,11,0
314,47,8,0
315,47,5,0
316,47,12,0
317,48,1,18
318,48,6,6
319,48,2,9
320,48,3,3
321,48,4,2
322,48,11,1
323,48,9,0
324,48,7,0
325,48,8,0
326,48,5,0
327,48,12,0
328,49,6,18
329,49,1,11
330,49,2,4
331,49,3,3
332,49,9,2
333,49,4,1
334,49,7,0
335,49,5,0
336,49,11,0
337,49,12,0
338,49,8,0
339,50,1,10
340,50,4,12
341,50,6,9
342,50,9,5
343,50,2,2
344,50,12,1
345,50,5,0
346,50,11,0
347,50,7,0
348,50,8,0
349,50,3,0
350,51,6,16
351,51,1,8
352,51,5,8
353,51,11,4
354,51,2,2
355,51,9,1
356,51,4,0
357,51,3,0
358,51,7,0
359,51,8,0
360,51,12,0
361,52,6,18
362,52,1,8
363,52,3,5
364,52,2,7
365,52,7,1
366,52,9,0
367,52,8,0
368,52,5,0
369,52,12,0
370,52,11,0
371,52,4,0
372,53,4,10
373,53,6,8
374,53,1,10
375,53,11,5
376,53,3,5
377,53,9,1
378,53,5,0
379,53,2,0
380,53,7,0
381,53,13,0
382,53,8,0
383,54,4,18
384,54,11,6
385,54,1,5
386,54,6,7
387,54,2,2
388,54,7,1
389,54,5,0
390,54,13,0
391,54,8,0
392,54,9,0
